Run,Assay.Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center.Name,common_name,Consent,DATASTORE.filetype,DATASTORE.provider,DATASTORE.region,ENA.FIRST.PUBLIC..run.,ena_first_public,ENA.LAST.UPDATE..run.,ena_last_update,Experiment,external_id,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_.country_and.or_sea.,geo_loc_name,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library.Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample.Name,sample_name,Scientific_Name,SRA.Study,Submitter_Id,latitude,longitude
ERR3950789,RAD-Seq,96,87123648,PRJEB36904,SAMEA6586580,53792051,UNIVERSITY OF EXETER,Nassau grouper,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",26/02/2020,2020-02-26T17:08:16Z,25/02/2020,2020-02-24T19:36:03Z,ERX3958594,SAMEA6586580,Bahamas,North America,Bahamas,Abaco,UNIVERSITY OF EXETER,2020-02-26T17:08:16Z,2020-02-24T19:36:03Z,public,Illumina HiSeq 2500,unspecified,SINGLE,PCR,GENOMIC,Epinephelus striatus,ILLUMINA,2020-02-28T00:00:00Z,2020-06-18T00:27:00Z,1,SAMEA6586580,AB13,Epinephelus striatus,ERP120163,AB13,26.29674,-77.534347
ERR3950790,RAD-Seq,96,53343840,PRJEB36904,SAMEA6586581,32992015,UNIVERSITY OF EXETER,Nassau grouper,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",26/02/2020,2020-02-26T17:08:16Z,25/02/2020,2020-02-24T19:36:03Z,ERX3958595,SAMEA6586581,Bahamas,North America,Bahamas,Abaco,UNIVERSITY OF EXETER,2020-02-26T17:08:16Z,2020-02-24T19:36:03Z,public,Illumina HiSeq 2500,unspecified,SINGLE,PCR,GENOMIC,Epinephelus striatus,ILLUMINA,2020-02-28T00:00:00Z,2020-06-18T00:27:00Z,1,SAMEA6586581,AB19,Epinephelus striatus,ERP120163,AB19,26.29674,-77.534347
ERR3950791,RAD-Seq,96,74881824,PRJEB36904,SAMEA6586582,46189316,UNIVERSITY OF EXETER,Nassau grouper,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",26/02/2020,2020-02-26T17:08:16Z,25/02/2020,2020-02-24T19:36:03Z,ERX3958596,SAMEA6586582,Bahamas,North America,Bahamas,Abaco,UNIVERSITY OF EXETER,2020-02-26T17:08:16Z,2020-02-24T19:36:03Z,public,Illumina HiSeq 2500,unspecified,SINGLE,PCR,GENOMIC,Epinephelus striatus,ILLUMINA,2020-02-28T00:00:00Z,2020-06-18T00:27:00Z,1,SAMEA6586582,AB28,Epinephelus striatus,ERP120163,AB28,26.29674,-77.534347
ERR3950792,RAD-Seq,96,75736608,PRJEB36904,SAMEA6586583,46863323,UNIVERSITY OF EXETER,Nassau grouper,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",26/02/2020,2020-02-26T17:08:16Z,25/02/2020,2020-02-24T19:36:03Z,ERX3958597,SAMEA6586583,Bahamas,North America,Bahamas,Abaco,UNIVERSITY OF EXETER,2020-02-26T17:08:16Z,2020-02-24T19:36:03Z,public,Illumina HiSeq 2500,unspecified,SINGLE,PCR,GENOMIC,Epinephelus striatus,ILLUMINA,2020-02-28T00:00:00Z,2020-06-18T00:27:00Z,1,SAMEA6586583,AB34,Epinephelus striatus,ERP120163,AB34,26.29674,-77.534347
ERR3950793,RAD-Seq,96,96621312,PRJEB36904,SAMEA6586584,59526721,UNIVERSITY OF EXETER,Nassau grouper,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",26/02/2020,2020-02-26T17:08:16Z,25/02/2020,2020-02-24T19:36:03Z,ERX3958598,SAMEA6586584,Bahamas,North America,Bahamas,Abaco,UNIVERSITY OF EXETER,2020-02-26T17:08:16Z,2020-02-24T19:36:03Z,public,Illumina HiSeq 2500,unspecified,SINGLE,PCR,GENOMIC,Epinephelus striatus,ILLUMINA,2020-02-28T00:00:00Z,2020-06-18T00:27:00Z,1,SAMEA6586584,AB38,Epinephelus striatus,ERP120163,AB38,26.29674,-77.534347
ERR3950794,RAD-Seq,96,51372096,PRJEB36904,SAMEA6586585,31831466,UNIVERSITY OF EXETER,Nassau grouper,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",26/02/2020,2020-02-26T17:08:16Z,25/02/2020,2020-02-24T19:36:03Z,ERX3958599,SAMEA6586585,Bahamas,North America,Bahamas,Abaco,UNIVERSITY OF EXETER,2020-02-26T17:08:16Z,2020-02-24T19:36:03Z,public,Illumina HiSeq 2500,unspecified,SINGLE,PCR,GENOMIC,Epinephelus striatus,ILLUMINA,2020-02-28T00:00:00Z,2020-09-10T21:07:00Z,1,SAMEA6586585,AB3,Epinephelus striatus,ERP120163,AB3,26.29674,-77.534347
ERR3950795,RAD-Seq,96,124374240,PRJEB36904,SAMEA6586586,76742996,UNIVERSITY OF EXETER,Nassau grouper,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",26/02/2020,2020-02-26T17:08:16Z,25/02/2020,2020-02-24T19:36:03Z,ERX3958600,SAMEA6586586,Bahamas,North America,Bahamas,Abaco,UNIVERSITY OF EXETER,2020-02-26T17:08:16Z,2020-02-24T19:36:03Z,public,Illumina HiSeq 2500,unspecified,SINGLE,PCR,GENOMIC,Epinephelus striatus,ILLUMINA,2020-02-28T00:00:00Z,2020-06-18T00:28:00Z,1,SAMEA6586586,AB42,Epinephelus striatus,ERP120163,AB42,26.29674,-77.534347
ERR3950796,RAD-Seq,96,101168352,PRJEB36904,SAMEA6586587,57829905,UNIVERSITY OF EXETER,Nassau grouper,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",26/02/2020,2020-02-26T17:08:16Z,25/02/2020,2020-02-24T19:36:03Z,ERX3958601,SAMEA6586587,Bahamas,North America,Bahamas,Abaco,UNIVERSITY OF EXETER,2020-02-26T17:08:16Z,2020-02-24T19:36:03Z,public,Illumina HiSeq 2500,unspecified,SINGLE,PCR,GENOMIC,Epinephelus striatus,ILLUMINA,2020-02-28T00:00:00Z,2020-11-11T11:01:00Z,1,SAMEA6586587,AB46,Epinephelus striatus,ERP120163,AB46,26.29674,-77.534347
ERR3950797,RAD-Seq,96,59971200,PRJEB36904,SAMEA6586588,34183970,UNIVERSITY OF EXETER,Nassau grouper,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",26/02/2020,2020-02-26T17:08:16Z,25/02/2020,2020-02-24T19:36:03Z,ERX3958602,SAMEA6586588,Bahamas,North America,Bahamas,Abaco,UNIVERSITY OF EXETER,2020-02-26T17:08:16Z,2020-02-24T19:36:03Z,public,Illumina HiSeq 2500,unspecified,SINGLE,PCR,GENOMIC,Epinephelus striatus,ILLUMINA,2020-02-28T00:00:00Z,2020-11-11T11:01:00Z,1,SAMEA6586588,AB5,Epinephelus striatus,ERP120163,AB5,26.29674,-77.534347
ERR3950798,RAD-Seq,96,75638112,PRJEB36904,SAMEA6586589,43187915,UNIVERSITY OF EXETER,Nassau grouper,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",26/02/2020,2020-02-26T17:08:16Z,25/02/2020,2020-02-24T19:36:03Z,ERX3958603,SAMEA6586589,Bahamas,North America,Bahamas,Abaco,UNIVERSITY OF EXETER,2020-02-26T17:08:16Z,2020-02-24T19:36:03Z,public,Illumina HiSeq 2500,unspecified,SINGLE,PCR,GENOMIC,Epinephelus striatus,ILLUMINA,2020-02-28T00:00:00Z,2020-11-11T11:01:00Z,1,SAMEA6586589,AB8,Epinephelus striatus,ERP120163,AB8,26.29674,-77.534347
