Run,Assay Type,AvgSpotLen,Bases,BIOMATERIAL_PROVIDER,BioProject,BioSample,BioSampleModel,BREED,Bytes,Center Name,collected_by,Collection_Date,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Ecotype,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolate,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sample_number,sample_type,sex,SRA Study,store_cond,strain,tissue,create_date,version,specimen_voucher,latitude,longitude
SRR2568023,OTHER,81,50049738,Dr. Michael Berumen Red Sea Research Center King Abdullah University of Science and Technology Thuwal 23955 Saudi Arabia,PRJNA294760,SAMN04151387,Model organism or animal,not collected,41130401,KING ABDULLAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,Steve Simpson,2007-01-01,public,not collected,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Adult,not collected,SRX1309382,Oman,Asia,Oman,Illumina HiSeq 2000,not collected,16.969 N 55.085 E,omanensis_ACAGTC_AACCA,SINGLE,Restriction Digest,GENOMIC,Amphiprion omanensis,ILLUMINA,2015-11-01T00:00:00Z,omanensis_ACAGTC-AACCA,1,tissue,not collected,SRP064543,Ethanol,not collected,fin/gill,2015-10-07T16:39:00Z,1,,16.969,55.085
SRR2568024,OTHER,81,55370385,Dr. Michael Berumen Red Sea Research Center King Abdullah University of Science and Technology Thuwal 23955 Saudi Arabia,PRJNA294760,SAMN04151388,Model organism or animal,not collected,43539089,KING ABDULLAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,Hugo Harrison,2007-01-01,public,not collected,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Adult,not collected,SRX1309383,Oman,Asia,Oman,Illumina HiSeq 2000,not collected,16.969 N 55.085 E,omanensis_ACAGTC_AAGGA,SINGLE,Restriction Digest,GENOMIC,Amphiprion omanensis,ILLUMINA,2015-11-01T00:00:00Z,omanensis_ACAGTC-AAGGA,2,tissue,not collected,SRP064543,Ethanol,not collected,fin/gill,2015-10-07T16:39:00Z,1,,16.969,55.085
SRR2568025,OTHER,81,123846408,Dr. Michael Berumen Red Sea Research Center King Abdullah University of Science and Technology Thuwal 23955 Saudi Arabia,PRJNA294760,SAMN04151399,Model organism or animal,not collected,75424574,KING ABDULLAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,Gerrit Nanninga,2012-10-01,public,not collected,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Adult,not collected,SRX1309384,Djibouti,Africa,Djibouti,Illumina HiSeq 2000,not collected,11.721 N 43.165 E,site06_Amph_Dij1601_AAGGA-ACTTGA,SINGLE,Restriction Digest,GENOMIC,Amphiprion bicinctus,ILLUMINA,2015-11-01T00:00:00Z,site06_Amph_Dij1601_AAGGA-ACTTGA,13,tissue,not collected,SRP064543,Ethanol,not collected,fin/gill,2015-10-07T03:33:00Z,1,,11.721,43.165
SRR2568026,OTHER,81,51675003,Dr. Michael Berumen Red Sea Research Center King Abdullah University of Science and Technology Thuwal 23955 Saudi Arabia,PRJNA294760,SAMN04151487,Model organism or animal,not collected,34402583,KING ABDULLAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,Gerrit Nanninga,2010-01-10,public,not collected,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Adult,not collected,SRX1309385,Saudi Arabia,Asia,Saudi Arabia: Abu Terr,Illumina HiSeq 2000,not collected,21.676 N 38.841 E,site22_Amph_AT20_CGATC-CTTGTA,SINGLE,Restriction Digest,GENOMIC,Amphiprion bicinctus,ILLUMINA,2015-11-01T00:00:00Z,site22_Amph_AT20_CGATC-CTTGTA,101,tissue,not collected,SRP064543,Ethanol,not collected,fin/gill,2015-10-07T03:32:00Z,1,,21.676,38.841
SRR2568027,OTHER,81,150402582,Dr. Michael Berumen Red Sea Research Center King Abdullah University of Science and Technology Thuwal 23955 Saudi Arabia,PRJNA294760,SAMN04151488,Model organism or animal,not collected,99447211,KING ABDULLAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,Gerrit Nanninga,2010-01-10,public,not collected,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Adult,not collected,SRX1309386,Saudi Arabia,Asia,Saudi Arabia: Abu Terr,Illumina HiSeq 2000,not collected,21.676 N 38.841 E,site22_Amph_AT21_AATTA-CTTGTA,SINGLE,Restriction Digest,GENOMIC,Amphiprion bicinctus,ILLUMINA,2015-11-01T00:00:00Z,site22_Amph_AT21_AATTA-CTTGTA,102,tissue,not collected,SRP064543,Ethanol,not collected,fin/gill,2015-10-07T03:32:00Z,1,,21.676,38.841
SRR2568028,OTHER,81,37019511,Dr. Michael Berumen Red Sea Research Center King Abdullah University of Science and Technology Thuwal 23955 Saudi Arabia,PRJNA294760,SAMN04151489,Model organism or animal,not collected,23893246,KING ABDULLAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,Gerrit Nanninga,2010-01-10,public,not collected,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Adult,not collected,SRX1309387,Saudi Arabia,Asia,Saudi Arabia: Abu Terr,Illumina HiSeq 2000,not collected,21.676 N 38.841 E,site22_Amph_AT24_CGATC-ACTTGA,SINGLE,Restriction Digest,GENOMIC,Amphiprion bicinctus,ILLUMINA,2015-11-01T00:00:00Z,site22_Amph_AT24_CGATC-ACTTGA,103,tissue,not collected,SRP064543,Ethanol,not collected,fin/gill,2015-10-07T03:32:00Z,1,,21.676,38.841
SRR2568029,OTHER,81,46939095,Dr. Michael Berumen Red Sea Research Center King Abdullah University of Science and Technology Thuwal 23955 Saudi Arabia,PRJNA294760,SAMN04151490,Model organism or animal,not collected,29456244,KING ABDULLAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,Gerrit Nanninga,2010-10-30,public,not collected,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Adult,not collected,SRX1309388,Saudi Arabia,Asia,Saudi Arabia: Yanbu,Illumina HiSeq 2000,not collected,24.15 N 37.675 E,site23_Amph_Yan16_AACCA-CAGATC,SINGLE,Restriction Digest,GENOMIC,Amphiprion bicinctus,ILLUMINA,2015-11-01T00:00:00Z,site23_Amph_Yan16_AACCA-CAGATC,104,tissue,not collected,SRP064543,Ethanol,not collected,fin/gill,2015-10-07T03:32:00Z,1,,24.15,37.675
SRR2568030,OTHER,81,47490300,Dr. Michael Berumen Red Sea Research Center King Abdullah University of Science and Technology Thuwal 23955 Saudi Arabia,PRJNA294760,SAMN04151491,Model organism or animal,not collected,31355312,KING ABDULLAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,Gerrit Nanninga,2010-10-30,public,not collected,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Adult,not collected,SRX1309389,Saudi Arabia,Asia,Saudi Arabia: Yanbu,Illumina HiSeq 2000,not collected,24.15 N 37.675 E,site23_Amph_Yan17_AACCA-GATCAG,SINGLE,Restriction Digest,GENOMIC,Amphiprion bicinctus,ILLUMINA,2015-11-01T00:00:00Z,site23_Amph_Yan17_AACCA-GATCAG,105,tissue,not collected,SRP064543,Ethanol,not collected,fin/gill,2015-10-07T03:32:00Z,1,,24.15,37.675
SRR2568031,OTHER,81,28664199,Dr. Michael Berumen Red Sea Research Center King Abdullah University of Science and Technology Thuwal 23955 Saudi Arabia,PRJNA294760,SAMN04151492,Model organism or animal,not collected,19109748,KING ABDULLAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,Gerrit Nanninga,2010-10-30,public,not collected,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Adult,not collected,SRX1309390,Saudi Arabia,Asia,Saudi Arabia: Yanbu,Illumina HiSeq 2000,not collected,24.15 N 37.675 E,site23_Amph_Yan18_ACACA-GATCAG,SINGLE,Restriction Digest,GENOMIC,Amphiprion bicinctus,ILLUMINA,2015-11-01T00:00:00Z,site23_Amph_Yan18_ACACA-GATCAG,106,tissue,not collected,SRP064543,Ethanol,not collected,fin/gill,2015-10-07T03:32:00Z,1,,24.15,37.675
SRR2568032,OTHER,81,55269864,Dr. Michael Berumen Red Sea Research Center King Abdullah University of Science and Technology Thuwal 23955 Saudi Arabia,PRJNA294760,SAMN04151493,Model organism or animal,not collected,36512292,KING ABDULLAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,Gerrit Nanninga,2010-10-30,public,not collected,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Adult,not collected,SRX1309391,Saudi Arabia,Asia,Saudi Arabia: Yanbu,Illumina HiSeq 2000,not collected,24.15 N 37.675 E,site23_Amph_Yan19_AACCA-TAGCTT,SINGLE,Restriction Digest,GENOMIC,Amphiprion bicinctus,ILLUMINA,2015-11-01T00:00:00Z,site23_Amph_Yan19_AACCA-TAGCTT,107,tissue,not collected,SRP064543,Ethanol,not collected,fin/gill,2015-10-07T03:32:00Z,1,,24.15,37.675
