"Run","age","Assay.Type","AvgSpotLen","Bases","BioProject","BioSample","BioSampleModel","Bytes","Center.Name","collected_by","Collection_Date","Consent","DATASTORE.filetype","DATASTORE.provider","DATASTORE.region","ecotype","Experiment","Instrument","Library.Name","LibraryLayout","LibrarySelection","LibrarySource","Organism","Platform","ReleaseDate","Sample.Name","sex","SRA.Study","stud_book_number","tissue","create_date","version","study_book_prefix","Latitude","Longitude","geo_loc_name"
"SRR5489518","not collected","OTHER",90,169523730,"PRJNA385011","SAMN06857657","Model organism or animal",140230616,"UNIVERSITY OF MICHIGAN","Alison Gould",2013,"public","fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1","not applicable","SRX2772358","Illumina HiSeq 2000","Library6_Y13-22","SINGLE","PCR","GENOMIC","Siphamia tubifer","ILLUMINA","2017-05-01T00:00:00Z","Y13-22","not determined","SRP105806","Y13-22","light organ","2017-05-01T17:30:00Z",1,"Y",26.203,127.7712,"Yonabaru"
"SRR5489519","not collected","OTHER",90,195371370,"PRJNA385011","SAMN06857656","Model organism or animal",165182682,"UNIVERSITY OF MICHIGAN","Alison Gould",2013,"public","fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1","not applicable","SRX2772359","Illumina HiSeq 2000","Library7_Y13-19","SINGLE","PCR","GENOMIC","Siphamia tubifer","ILLUMINA","2017-05-01T00:00:00Z","Y13-19","not determined","SRP105806","Y13-19","light organ","2017-05-01T17:30:00Z",1,"Y",26.203,127.7712,"Yonabaru"
"SRR5489520","not collected","OTHER",90,132116670,"PRJNA385011","SAMN06857655","Model organism or animal",110803938,"UNIVERSITY OF MICHIGAN","Alison Gould",2013,"public","fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1","not applicable","SRX2772360","Illumina HiSeq 2000","Library6_Y13-18","SINGLE","PCR","GENOMIC","Siphamia tubifer","ILLUMINA","2017-05-01T00:00:00Z","Y13-18","not determined","SRP105806","Y13-18","light organ","2017-05-01T17:30:00Z",1,"Y",26.203,127.7712,"Yonabaru"
"SRR5489522","not collected","OTHER",90,180217800,"PRJNA385011","SAMN06857653","Model organism or animal",149687051,"UNIVERSITY OF MICHIGAN","Alison Gould",2013,"public","fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1","not applicable","SRX2772362","Illumina HiSeq 2000","Library5_Y13-14","SINGLE","PCR","GENOMIC","Siphamia tubifer","ILLUMINA","2017-05-01T00:00:00Z","Y13-14","not determined","SRP105806","Y13-14","light organ","2017-05-01T17:30:00Z",1,"Y",26.203,127.7712,"Yonabaru"
"SRR5489523","not collected","OTHER",90,192581370,"PRJNA385011","SAMN06857652","Model organism or animal",162816454,"UNIVERSITY OF MICHIGAN","Alison Gould",2013,"public","fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1","not applicable","SRX2772363","Illumina HiSeq 2000","Library7_Y13-13","SINGLE","PCR","GENOMIC","Siphamia tubifer","ILLUMINA","2017-05-01T00:00:00Z","Y13-13","not determined","SRP105806","Y13-13","light organ","2017-05-01T17:33:00Z",1,"Y",26.203,127.7712,"Yonabaru"
"SRR5489524","not collected","OTHER",90,165562740,"PRJNA385011","SAMN06857651","Model organism or animal",140375649,"UNIVERSITY OF MICHIGAN","Alison Gould",2013,"public","fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1","not applicable","SRX2772364","Illumina HiSeq 2000","Library7_Y13-12","SINGLE","PCR","GENOMIC","Siphamia tubifer","ILLUMINA","2017-05-01T00:00:00Z","Y13-12","not determined","SRP105806","Y13-12","light organ","2017-05-01T17:30:00Z",1,"Y",26.203,127.7712,"Yonabaru"
"SRR5489527","not collected","OTHER",90,202936140,"PRJNA385011","SAMN06857648","Model organism or animal",150846922,"UNIVERSITY OF MICHIGAN","Alison Gould",2014,"public","fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1","not applicable","SRX2772367","Illumina HiSeq 2000","Library3_S14-09","SINGLE","PCR","GENOMIC","Siphamia tubifer","ILLUMINA","2017-05-01T00:00:00Z","S14-09","not determined","SRP105806","S14-09","light organ","2017-05-01T17:30:00Z",1,"S",26.6354,127.8658,"Sesoko"
"SRR5489544","not collected","OTHER",90,236770290,"PRJNA385011","SAMN06857631","Model organism or animal",176779322,"UNIVERSITY OF MICHIGAN","Alison Gould",2014,"public","fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1","not applicable","SRX2772384","Illumina HiSeq 2000","Library4_S14-13","SINGLE","PCR","GENOMIC","Siphamia tubifer","ILLUMINA","2017-05-01T00:00:00Z","S14-13","not determined","SRP105806","S14-13","light organ","2017-05-01T17:31:00Z",1,"S",26.6354,127.8658,"Sesoko"
"SRR5489545","not collected","OTHER",90,245294370,"PRJNA385011","SAMN06857630","Model organism or animal",178887548,"UNIVERSITY OF MICHIGAN","Alison Gould",2014,"public","fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1","not applicable","SRX2772385","Illumina HiSeq 2000","Library3_S14-12","SINGLE","PCR","GENOMIC","Siphamia tubifer","ILLUMINA","2017-05-01T00:00:00Z","S14-12","not determined","SRP105806","S14-12","light organ","2017-05-01T17:31:00Z",1,"S",26.6354,127.8658,"Sesoko"
"SRR5489546","not collected","OTHER",90,152999370,"PRJNA385011","SAMN06857629","Model organism or animal",113337890,"UNIVERSITY OF MICHIGAN","Alison Gould",2014,"public","fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1","not applicable","SRX2772386","Illumina HiSeq 2000","Library3_S14-11","SINGLE","PCR","GENOMIC","Siphamia tubifer","ILLUMINA","2017-05-01T00:00:00Z","S14-11","not determined","SRP105806","S14-11","light organ","2017-05-01T17:31:00Z",1,"S",26.6354,127.8658,"Sesoko"
