Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,collection_site_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Ecotype,Experiment,habitat_type,Instrument,isolate,latitude,Library Name,LibraryLayout,LibrarySelection,LibrarySource,longitude,Organism,Platform,ReleaseDate,Sample Name,sex,SRA Study,standard_length_mm,tissue,create_date,version,total_length_mm
SRR8354465,RAD-Seq,90,113486220,PRJNA510810,SAMN10616199,Model organism or animal,74543868,OREGON STATE UNIVERSITY,22/09/2013,BAYAHIBE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,Dominican Republic (2013),SRX5165428,Patch Reef,Illumina HiSeq 2500,Dom13_18,18.3431,EKB_610_SbfI,SINGLE,Reduced Representation,GENOMIC,-68.83381,Pterois volitans,ILLUMINA,2018-12-19T00:00:00Z,EKB_610,not determined,SRP173940,217,muscle,2018-12-19T14:01:00Z,1,285
SRR8354466,RAD-Seq,90,113293260,PRJNA510810,SAMN10616200,Model organism or animal,72477343,OREGON STATE UNIVERSITY,22/09/2013,BAYAHIBE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,Dominican Republic (2013),SRX5165427,Patch Reef,Illumina HiSeq 2500,Dom13_19,18.3431,EKB_611_SbfI,SINGLE,Reduced Representation,GENOMIC,-68.83381,Pterois volitans,ILLUMINA,2018-12-19T00:00:00Z,EKB_611,not determined,SRP173940,232,muscle,2018-12-19T14:01:00Z,1,297
SRR8354467,RAD-Seq,90,307079640,PRJNA510810,SAMN10616201,Model organism or animal,231961621,OREGON STATE UNIVERSITY,29/08/2013,Bluefire,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,Florida (2013),SRX5165426,Wreck,Illumina HiSeq 2500,Bisc_1,25.5662667,EKB_026_SbfI,SINGLE,Reduced Representation,GENOMIC,-80.0906333,Pterois volitans,ILLUMINA,2018-12-19T00:00:00Z,EKB_026,male,SRP173940,315,fin clip,2018-12-19T14:02:00Z,1,NA
SRR8354468,RAD-Seq,90,239356980,PRJNA510810,SAMN10616202,Model organism or animal,181135600,OREGON STATE UNIVERSITY,29/08/2013,Bluefire,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,Florida (2013),SRX5165425,Wreck,Illumina HiSeq 2500,Bisc_5,25.566267,EKB_030_SbfI,SINGLE,Reduced Representation,GENOMIC,-80.090633,Pterois volitans,ILLUMINA,2018-12-19T00:00:00Z,EKB_030,male,SRP173940,265,fin clip,2018-12-19T14:02:00Z,1,NA
SRR8354469,RAD-Seq,90,117928260,PRJNA510810,SAMN10616195,Model organism or animal,76011177,OREGON STATE UNIVERSITY,20/10/2013,SOSUA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,Dominican Republic (2013),SRX5165424,Coral Reef,Illumina HiSeq 2500,Dom13_11,19.768483,EKB_605_SbfI,SINGLE,Reduced Representation,GENOMIC,-70.561467,Pterois volitans,ILLUMINA,2018-12-19T00:00:00Z,EKB_605,not determined,SRP173940,230,muscle,2018-12-19T14:02:00Z,1,310
SRR8354470,RAD-Seq,90,103745700,PRJNA510810,SAMN10616196,Model organism or animal,66487724,OREGON STATE UNIVERSITY,20/10/2013,SOSUA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,Dominican Republic (2013),SRX5165423,Coral Reef,Illumina HiSeq 2500,Dom13_15,19.768483,EKB_607_SbfI,SINGLE,Reduced Representation,GENOMIC,-70.561467,Pterois volitans,ILLUMINA,2018-12-19T00:00:00Z,EKB_607,not determined,SRP173940,260,muscle,2018-12-19T14:02:00Z,1,330
SRR8354471,RAD-Seq,90,87263550,PRJNA510810,SAMN10616197,Model organism or animal,55753525,OREGON STATE UNIVERSITY,22/09/2013,BAYAHIBE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,Dominican Republic (2013),SRX5165422,Patch Reef,Illumina HiSeq 2500,Dom13_16,18.3431,EKB_608_SbfI,SINGLE,Reduced Representation,GENOMIC,-68.83381,Pterois volitans,ILLUMINA,2018-12-19T00:00:00Z,EKB_608,not determined,SRP173940,215,muscle,2018-12-19T14:02:00Z,1,282
SRR8354472,RAD-Seq,90,94435920,PRJNA510810,SAMN10616198,Model organism or animal,60854794,OREGON STATE UNIVERSITY,05/10/2013,La Caleta MPA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,Dominican Republic (2013),SRX5165421,Coral Reef,Illumina HiSeq 2500,Dom13_17,18.441539,EKB_609_SbfI,SINGLE,Reduced Representation,GENOMIC,-69.693642,Pterois volitans,ILLUMINA,2018-12-19T00:00:00Z,EKB_609,not determined,SRP173940,400,muscle,2018-12-19T14:02:00Z,1,310
SRR8354473,RAD-Seq,90,307265130,PRJNA510810,SAMN10616203,Model organism or animal,233667657,OREGON STATE UNIVERSITY,29/08/2013,Bluefire,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,Florida (2013),SRX5165420,Wreck,Illumina HiSeq 2500,Bisc_6,25.566267,EKB_031_SbfI,SINGLE,Reduced Representation,GENOMIC,-80.090633,Pterois volitans,ILLUMINA,2018-12-19T00:00:00Z,EKB_031,male,SRP173940,229,fin clip,2018-12-19T14:03:00Z,1,NA
SRR8354474,RAD-Seq,90,184173930,PRJNA510810,SAMN10616204,Model organism or animal,116745810,OREGON STATE UNIVERSITY,29/08/2013,Bluefire,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,Florida (2013),SRX5165419,Wreck,Illumina HiSeq 2500,Bisc_7,25.566267,EKB_032_SbfI,SINGLE,Reduced Representation,GENOMIC,-80.090633,Pterois volitans,ILLUMINA,2018-12-19T00:00:00Z,EKB_032,male,SRP173940,235,fin clip,2018-12-19T14:02:00Z,1,NA
SRR8354475,RAD-Seq,90,102050010,PRJNA510810,SAMN10616243,Model organism or animal,65730985,OREGON STATE UNIVERSITY,25/08/2013,Cozumel Marine Park,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,Mexico (2013),SRX5165418,Hard Bottom,Illumina HiSeq 2500,Mex13-3,20.454654,EKB_407_SbfI,SINGLE,Reduced Representation,GENOMIC,-86.99218,Pterois volitans,ILLUMINA,2018-12-19T00:00:00Z,EKB_407,male,SRP173940,255,muscle,2018-12-19T14:02:00Z,1,350
SRR8354476,RAD-Seq,90,165087090,PRJNA510810,SAMN10616206,Model organism or animal,107712267,OREGON STATE UNIVERSITY,29/08/2013,Bluefire,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,Florida (2013),SRX5165417,Wreck,Illumina HiSeq 2500,Bisc_9,25.566267,EKB_034_SbfI,SINGLE,Reduced Representation,GENOMIC,-80.090633,Pterois volitans,ILLUMINA,2018-12-19T00:00:00Z,EKB_034,male,SRP173940,199,fin clip,2018-12-19T14:02:00Z,1,NA
SRR8354477,RAD-Seq,90,153584100,PRJNA510810,SAMN10616205,Model organism or animal,101683163,OREGON STATE UNIVERSITY,29/08/2013,Bluefire,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,Florida (2013),SRX5165416,Wreck,Illumina HiSeq 2500,Bisc_8,25.566267,EKB_033_SbfI,SINGLE,Reduced Representation,GENOMIC,-80.090633,Pterois volitans,ILLUMINA,2018-12-19T00:00:00Z,EKB_033,female,SRP173940,222,fin clip,2018-12-19T14:02:00Z,1,NA
SRR8354478,RAD-Seq,90,176700690,PRJNA510810,SAMN10616208,Model organism or animal,113621282,OREGON STATE UNIVERSITY,29/08/2013,Bluefire,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,Florida (2013),SRX5165415,Wreck,Illumina HiSeq 2500,Bisc_11,25.566267,EKB_036_SbfI,SINGLE,Reduced Representation,GENOMIC,-80.090633,Pterois volitans,ILLUMINA,2018-12-19T00:00:00Z,EKB_036,not determined,SRP173940,103,fin clip,2018-12-19T14:02:00Z,1,NA
SRR8354479,RAD-Seq,90,130984830,PRJNA510810,SAMN10616207,Model organism or animal,84531726,OREGON STATE UNIVERSITY,29/08/2013,Bluefire,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,Florida (2013),SRX5165414,Wreck,Illumina HiSeq 2500,Bisc_10,25.566267,EKB_035_SbfI,SINGLE,Reduced Representation,GENOMIC,-80.090633,Pterois volitans,ILLUMINA,2018-12-19T00:00:00Z,EKB_035,male,SRP173940,184,fin clip,2018-12-19T14:02:00Z,1,NA
SRR8354480,RAD-Seq,90,134757810,PRJNA510810,SAMN10616210,Model organism or animal,86514375,OREGON STATE UNIVERSITY,29/08/2013,Bluefire,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,Florida (2013),SRX5165413,Wreck,Illumina HiSeq 2500,Bisc_13,25.566267,EKB_038_SbfI,SINGLE,Reduced Representation,GENOMIC,-80.090633,Pterois volitans,ILLUMINA,2018-12-19T00:00:00Z,EKB_038,not determined,SRP173940,257,fin clip,2018-12-19T14:02:00Z,1,NA
SRR8354481,RAD-Seq,90,137499030,PRJNA510810,SAMN10616209,Model organism or animal,89132268,OREGON STATE UNIVERSITY,29/08/2013,Bluefire,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,Florida (2013),SRX5165412,Wreck,Illumina HiSeq 2500,Bisc_12,25.566267,EKB_037_SbfI,SINGLE,Reduced Representation,GENOMIC,-80.090633,Pterois volitans,ILLUMINA,2018-12-19T00:00:00Z,EKB_037,not determined,SRP173940,99,fin clip,2018-12-19T14:02:00Z,1,NA
